# Equilibrio L-V con potencial Lennard-Jones

units           lj
atom_style      atomic

# Crear caja inicial (10x10x10) con red FCC y replicar en X
lattice         fcc 0.8442
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
region          box block 0 10 0 10 0 10
create_box      1 box
Created orthogonal box = (0 0 0) to (16.795962 16.795962 16.795962)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 4000 atoms
  using lattice units in orthogonal box = (0 0 0) to (16.795962 16.795962 16.795962)
  create_atoms CPU = 0.007 seconds
replicate       3 1 1
Replication is creating a 3x1x1 = 3 times larger system...
  orthogonal box = (0 0 0) to (50.387886 16.795962 16.795962)
  1 by 1 by 1 MPI processor grid
  12000 atoms
  replicate CPU = 0.019 seconds

# Borrar las regiones laterales (sólo conservar el centro)
group           extremos id <> 1 4000
4000 atoms in group extremos
group           extremos id <> 8001 12000
8000 atoms in group extremos
delete_atoms    group extremos
Deleted 8000 atoms, new total = 4000

mass            1 1.0
neigh_modify    delay 5

# Inicialización de velocidades
velocity        all create 0.7 87287

# Interacción Lennard-Jones
pair_style      lj/cut 2.5
pair_coeff      1 1 1.0 1.0

# Temperatura de simulación (editable)
variable        T equal 1.0

# Primera etapa: dinámica NVE
fix             f1 all nve

compute         tempi all temp
compute         press all pressure tempi

# Registro de temperatura y presión
fix             f_temp all ave/time 10 10 100 c_tempi file temperatura_${T}.out
fix             f_temp all ave/time 10 10 100 c_tempi file temperatura_1.out
fix             f_press all ave/time 10 10 100 c_press file prico_${T}.out
fix             f_press all ave/time 10 10 100 c_press file prico_1.out

# Registro del tensor de presión completo
fix             f_tensor all ave/time 10 10 100 c_press[1] c_press[2] c_press[3] c_press[4] c_press[5] c_press[6] file ptensor_${T}.out
fix             f_tensor all ave/time 10 10 100 c_press[1] c_press[2] c_press[3] c_press[4] c_press[5] c_press[6] file ptensor_1.out

# Dump inicial para observar evolución
dump            d1 all atom 100 dump_${T}.melt
dump            d1 all atom 100 dump_1.melt

thermo_style    custom step density pe ke etotal
thermo          50
timestep        0.005

# Corrida inicial para estabilización
run             20000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 5 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 36 12 12
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
   Step        Density         PotEng         KinEng         TotEng    
      9850   0.2814        -6.3145891      0.80582945    -5.5087597    
      9900   0.2814        -6.3228469      0.81411498    -5.5087319    
      9950   0.2814        -6.3121582      0.80279972    -5.5093585    
     10000   0.2814        -6.3037935      0.79345883    -5.5103347    
     10050   0.2814        -6.3407386      0.82858032    -5.5121583    
     10100   0.2814        -6.3238727      0.81122517    -5.5126476    
     10150   0.2814        -6.3426545      0.82800209    -5.5146524    
     10200   0.2814        -6.345599       0.83059554    -5.5150035    
     10250   0.2814        -6.3447112      0.83013282    -5.5145783    
     10300   0.2814        -6.3638071      0.84898981    -5.5148173    
     10350   0.2814        -6.3528834      0.83809342    -5.51479      
     10400   0.2814        -6.3504308      0.83636698    -5.5140639    
     10450   0.2814        -6.343697       0.83061135    -5.5130856    
     10500   0.2814        -6.3346924      0.82234451    -5.5123479    
     10550   0.2814        -6.3376499      0.8255156     -5.5121343    
     10600   0.2814        -6.3332099      0.82178135    -5.5114285    
     10650   0.2814        -6.3214426      0.81097989    -5.5104627    
     10700   0.2814        -6.3090577      0.79926101    -5.5097967    
     10750   0.2814        -6.3189757      0.80955892    -5.5094168    
     10800   0.2814        -6.3151018      0.80520971    -5.509892     
     10850   0.2814        -6.3081983      0.79732829    -5.51087      
     10900   0.2814        -6.3227486      0.8122412     -5.5105074    
     10950   0.2814        -6.3111333      0.79969676    -5.5114366    
     11000   0.2814        -6.3199616      0.80758472    -5.5123769    
     11050   0.2814        -6.3239935      0.81118091    -5.5128126    
     11100   0.2814        -6.3359189      0.82255865    -5.5133602    
     11150   0.2814        -6.3309385      0.81740168    -5.5135369    
     11200   0.2814        -6.3345115      0.82097074    -5.5135408    
     11250   0.2814        -6.3327557      0.81886807    -5.5138877    
     11300   0.2814        -6.3342833      0.8209665     -5.5133168    
     11350   0.2814        -6.3316532      0.81889608    -5.5127571    
     11400   0.2814        -6.3312163      0.81926297    -5.5119533    
     11450   0.2814        -6.3211013      0.80964227    -5.511459     
     11500   0.2814        -6.3303006      0.8194771     -5.5108235    
     11550   0.2814        -6.3082621      0.79750062    -5.5107615    
     11600   0.2814        -6.3250952      0.81463697    -5.5104582    
     11650   0.2814        -6.3158996      0.8053982     -5.5105014    
     11700   0.2814        -6.3383639      0.82707252    -5.5112914    
     11750   0.2814        -6.3236018      0.81179117    -5.5118107    
     11800   0.2814        -6.3320055      0.8195407     -5.5124648    
     11850   0.2814        -6.3151755      0.8024666     -5.5127089    
     11900   0.2814        -6.3346831      0.82141086    -5.5132723    
     11950   0.2814        -6.3361757      0.8227038     -5.5134719    
     12000   0.2814        -6.3385244      0.8251973     -5.5133271    
     12050   0.2814        -6.3363412      0.82330253    -5.5130387    
     12100   0.2814        -6.3295567      0.81671673    -5.51284      
